Date,Avg_Player,Final_Price,Base_Price,Discount_%,Is_Sale,Is_Weekend,Is_Holiday,Days_Since_Release
2022-07-26,39247.0,59.99,59.99,0.0,0,0,0,152
2022-07-27,38561.0,59.99,59.99,0.0,0,0,0,153
2022-07-28,38246.0,59.99,59.99,0.0,0,0,0,154
2022-07-29,39789.0,59.99,59.99,0.0,0,0,0,155
2022-07-30,46293.0,59.99,59.99,0.0,0,1,0,156
2022-07-31,48106.0,59.99,59.99,0.0,0,1,0,157
2022-08-01,38945.0,59.99,59.99,0.0,0,0,0,158
2022-08-02,37343.0,59.99,59.99,0.0,0,0,0,159
2022-08-03,37321.0,59.99,59.99,0.0,0,0,0,160
2022-08-04,36960.0,59.99,59.99,0.0,0,0,0,161
2022-08-05,39217.0,59.99,59.99,0.0,0,0,0,162
2022-08-06,45096.0,59.99,59.99,0.0,0,1,0,163
2022-08-07,47397.0,59.99,59.99,0.0,0,1,0,164
2022-08-08,38506.0,59.99,59.99,0.0,0,0,0,165
2022-08-09,34276.0,59.99,59.99,0.0,0,0,0,166
2022-08-10,35418.0,59.99,59.99,0.0,0,0,0,167
2022-08-11,35050.0,59.99,59.99,0.0,0,0,0,168
2022-08-12,37830.0,59.99,59.99,0.0,0,0,0,169
2022-08-13,42939.0,59.99,59.99,0.0,0,1,0,170
2022-08-14,45151.0,59.99,59.99,0.0,0,1,0,171
2022-08-15,38884.0,59.99,59.99,0.0,0,0,0,172
2022-08-16,36056.0,59.99,59.99,0.0,0,0,0,173
2022-08-17,35867.0,59.99,59.99,0.0,0,0,0,174
2022-08-18,35167.0,59.99,59.99,0.0,0,0,0,175
2022-08-19,37416.0,59.99,59.99,0.0,0,0,0,176
2022-08-20,43930.0,59.99,59.99,0.0,0,1,0,177
2022-08-21,46138.0,59.99,59.99,0.0,0,1,0,178
2022-08-22,35746.0,59.99,59.99,0.0,0,0,0,179
2022-08-23,35378.0,59.99,59.99,0.0,0,0,0,180
