Date,Avg_Player,Log_Player,Lag_Player,Discount_Ratio,Base_Price,Is_Weekend,Is_Holiday,Years_Since_Release,Trend_Index,Log_Twitch_Avg,Is_Major_Update,Is_Minor_Update
2025-03-27,7258.0,8.889997357284841,8.966738978759576,0.0,49.99,0,0,3.2739726027397262,0.06,0.0,0,0
2025-03-28,8360.0,9.031333316150057,8.889997357284841,0.0,49.99,0,0,3.276712328767123,0.06,0.0,0,0
2025-03-29,9450.0,9.153875834995056,9.031333316150057,0.0,49.99,1,0,3.2794520547945205,0.06,0.0,0,0
2025-03-30,9513.0,9.160519676992227,9.153875834995056,0.0,49.99,1,0,3.282191780821918,0.06,0.0,0,0
2025-03-31,7250.0,8.888894669371593,9.160519676992227,0.0,49.99,0,0,3.2849315068493152,0.06,0.0,0,0
2025-04-01,6698.0,8.809713540508268,8.888894669371593,0.0,49.99,0,0,3.287671232876712,0.08,0.0,0,0
2025-04-02,6728.0,8.814181823188317,8.809713540508268,0.0,49.99,0,0,3.2904109589041095,0.08,0.0,0,0
2025-04-03,6519.0,8.782629654920699,8.814181823188317,0.0,49.99,0,0,3.293150684931507,0.08,0.0,0,0
2025-04-04,7109.0,8.869257522797287,8.782629654920699,0.0,49.99,0,0,3.2958904109589042,0.08,0.0,0,0
2025-04-05,8447.0,9.041685005946043,8.869257522797287,0.0,49.99,1,0,3.2986301369863016,0.08,0.0,0,0
2025-04-06,8510.0,9.049114723476961,9.041685005946043,0.0,49.99,1,0,3.3013698630136985,0.08,0.0,0,0
2025-04-07,6546.0,8.786762208441091,9.049114723476961,0.0,49.99,0,0,3.304109589041096,0.08,0.0,0,0
2025-04-08,6288.0,8.746557354543503,8.786762208441091,0.0,49.99,0,0,3.3068493150684932,0.08,0.0,0,0
2025-04-09,6282.0,8.745602852402946,8.746557354543503,0.0,49.99,0,0,3.3095890410958906,0.08,0.0,0,0
2025-04-10,6301.0,8.74862232231722,8.745602852402946,0.0,49.99,0,0,3.3123287671232875,0.08,0.0,0,0
2025-04-11,7219.0,8.884610231886873,8.74862232231722,0.0,49.99,0,0,3.315068493150685,0.08,0.0,0,0
2025-04-12,8715.0,9.072915696064511,8.884610231886873,0.5001000200040009,49.99,1,0,3.317808219178082,0.08,0.0,0,0
2025-04-13,11995.0,9.392328539868899,9.072915696064511,0.5001000200040009,49.99,1,0,3.3205479452054796,0.08,0.0,0,0
2025-04-14,10009.0,9.211339872309265,9.392328539868899,0.5001000200040009,49.99,0,0,3.3232876712328765,0.08,0.0,0,0
2025-04-15,10151.0,9.225426009394223,9.211339872309265,0.5001000200040009,49.99,0,0,3.326027397260274,0.08,0.0,0,0
2025-04-16,10017.0,9.212138753917563,9.225426009394223,0.5001000200040009,49.99,0,0,3.328767123287671,0.08,0.0,0,0
2025-04-17,10761.0,9.283776690049365,9.212138753917563,0.5001000200040009,49.99,0,0,3.3315068493150686,0.08,0.0,0,0
2025-04-18,13912.0,9.540578933841877,9.283776690049365,0.5001000200040009,49.99,0,0,3.334246575342466,0.08,0.0,0,0
2025-04-19,14861.0,9.606562898717415,9.540578933841877,0.0,49.99,1,0,3.336986301369863,0.08,0.0,0,0
2025-04-20,14080.0,9.552581649917311,9.606562898717415,0.0,49.99,1,0,3.33972602739726,0.08,0.0,0,0
2025-04-21,12395.0,9.42512911890764,9.552581649917311,0.0,49.99,0,0,3.3424657534246576,0.08,0.0,0,0
2025-04-22,9987.0,9.209139651399664,9.42512911890764,0.0,49.99,0,0,3.345205479452055,0.08,0.0,0,0
2025-04-23,9303.0,9.1381996941985,9.209139651399664,0.0,49.99,0,0,3.347945205479452,0.08,0.0,0,0
2025-04-24,9086.0,9.114600099695346,9.1381996941985,0.0,49.99,0,0,3.350684931506849,0.08,0.0,0,0
2025-04-25,9900.0,9.200391041122515,9.114600099695346,0.0,49.99,0,0,3.3534246575342466,0.08,0.0,0,0
2025-04-26,11296.0,9.33229248272693,9.200391041122515,0.0,49.99,1,0,3.356164383561644,0.08,0.0,0,0
2025-04-27,11417.0,9.342946336524204,9.33229248272693,0.0,49.99,1,0,3.3589041095890413,0.08,0.0,0,0
2025-04-28,8227.0,9.015298250772847,9.342946336524204,0.0,49.99,0,0,3.361643835616438,0.08,0.0,0,0
2025-04-29,7876.0,8.971702399703325,9.015298250772847,0.0,49.99,0,0,3.3643835616438356,0.08,0.0,0,0
2025-04-30,8272.0,9.020752479190183,8.971702399703325,0.0,49.99,0,0,3.367123287671233,0.08,0.0,0,0
2025-05-01,8227.0,9.015298250772847,9.020752479190183,0.0,49.99,0,0,3.3698630136986303,0.09,0.0,0,0
2025-05-02,8351.0,9.03025631012242,9.015298250772847,0.0,49.99,0,0,3.372602739726027,0.09,0.0,0,0
2025-05-03,9671.0,9.176990392294629,9.03025631012242,0.0,49.99,1,0,3.3753424657534246,0.09,0.0,0,0
2025-05-04,9789.0,9.189116735524555,9.176990392294629,0.0,49.99,1,0,3.378082191780822,0.09,0.0,0,0
2025-05-05,7485.0,8.920789888464375,9.189116735524555,0.0,49.99,0,0,3.3808219178082193,0.09,0.0,0,0
2025-05-06,6841.0,8.830835365537549,8.920789888464375,0.0,49.99,0,0,3.3835616438356166,0.09,0.0,0,0
2025-05-07,6906.0,8.840290669088972,8.830835365537549,0.0,49.99,0,0,3.3863013698630136,0.09,0.0,0,0
2025-05-08,6804.0,8.825412915085566,8.840290669088972,0.0,49.99,0,0,3.389041095890411,0.09,0.0,0,0
2025-05-09,7130.0,8.872206756028303,8.825412915085566,0.0,49.99,0,0,3.3917808219178083,0.09,0.0,0,0
2025-05-10,8444.0,9.041329829241901,8.872206756028303,0.0,49.99,1,0,3.3945205479452056,0.09,0.0,0,0
2025-05-11,8551.0,9.053920452704881,9.041329829241901,0.0,49.99,1,0,3.3972602739726026,0.09,0.0,0,0
2025-05-12,6516.0,8.78216942633238,9.053920452704881,0.0,49.99,0,0,3.4,0.09,0.0,0,0
2025-05-13,6253.0,8.740976538017787,8.78216942633238,0.0,49.99,0,0,3.4027397260273973,0.09,0.0,0,0
2025-05-14,5819.0,8.669055540725484,8.740976538017787,0.0,49.99,0,0,3.4054794520547946,0.09,0.0,0,0
2025-05-15,5814.0,8.668196064952765,8.669055540725484,0.0,49.99,0,0,3.408219178082192,0.09,0.0,0,0
2025-05-16,6382.0,8.761393485256058,8.668196064952765,0.0,49.99,0,0,3.410958904109589,0.09,0.0,0,0
2025-05-17,7471.0,8.918917979908679,8.761393485256058,0.0,49.99,1,0,3.4136986301369863,0.09,0.0,0,0
2025-05-18,7896.0,8.97423821949758,8.918917979908679,0.0,49.99,1,0,3.4164383561643836,0.09,0.0,0,0
2025-05-19,6375.0,8.760296220470051,8.97423821949758,0.4000800160032007,49.99,0,0,3.419178082191781,0.09,0.0,0,0
2025-05-20,6846.0,8.831565879121063,8.760296220470051,0.4000800160032007,49.99,0,0,3.421917808219178,0.09,0.0,0,0
2025-05-21,7274.0,8.892199092039693,8.831565879121063,0.4000800160032007,49.99,0,0,3.4246575342465753,0.09,0.0,0,0
2025-05-22,7611.0,8.93748122841604,8.892199092039693,0.4000800160032007,49.99,0,0,3.4273972602739726,0.09,0.0,0,0
2025-05-23,8634.0,9.06357899058078,8.93748122841604,0.4000800160032007,49.99,0,0,3.43013698630137,0.09,0.0,0,0
2025-05-24,9701.0,9.180087328805161,9.06357899058078,0.4000800160032007,49.99,1,0,3.4328767123287673,0.09,0.0,0,0
2025-05-25,10559.0,9.264828557260252,9.180087328805161,0.4000800160032007,49.99,1,0,3.4356164383561643,0.09,0.0,0,0
2025-05-26,10198.0,9.230044955250518,9.264828557260252,0.0,49.99,0,1,3.4383561643835616,0.09,0.0,0,0
2025-05-27,7793.0,8.961109485898655,9.230044955250518,0.0,49.99,0,0,3.441095890410959,0.09,0.0,0,0
2025-05-28,7655.0,8.94324493313279,8.961109485898655,0.0,49.99,0,0,3.4438356164383563,0.09,0.0,0,0
2025-05-29,7107.0,8.868976189274543,8.94324493313279,0.0,49.99,0,0,3.4465753424657533,0.09,0.0,0,0
2025-05-30,6895.0,8.83869681234353,8.868976189274543,0.0,49.99,0,0,3.4493150684931506,0.09,0.0,0,0
2025-05-31,7691.0,8.94793610670867,8.83869681234353,0.0,49.99,1,0,3.452054794520548,0.09,0.0,0,0
