Date,Avg_Player,Log_Player,Lag_Player,Discount_Ratio,Base_Price,Is_Weekend,Is_Holiday,Years_Since_Release,Trend_Index,Log_Twitch_Avg,Is_Major_Update,Is_Minor_Update
2022-12-06,32942.0,10.402534074265823,10.230919044505193,0.0,59.99,0,0,0.7808219178082192,0.16,0.0,0,0
2022-12-07,32676.0,10.394426745494522,10.402534074265823,0.0,59.99,0,0,0.7835616438356164,0.16,0.0,1,0
2022-12-08,33179.0,10.409702563744435,10.394426745494522,0.0,59.99,0,0,0.7863013698630137,0.16,0.0,1,0
2022-12-09,37725.0,10.53810479090567,10.409702563744435,0.0,59.99,0,0,0.7890410958904109,0.16,0.0,1,0
2022-12-10,46193.0,10.740605198506104,10.53810479090567,0.0,59.99,1,0,0.7917808219178082,0.16,0.0,1,0
2022-12-11,47045.0,10.758881125458977,10.740605198506104,0.0,59.99,1,0,0.7945205479452054,0.16,0.0,1,0
2022-12-12,37142.0,10.522530607088802,10.758881125458977,0.0,59.99,0,0,0.7972602739726027,0.16,0.0,1,0
2022-12-13,36105.0,10.494214335496604,10.522530607088802,0.0,59.99,0,0,0.8,0.16,0.0,1,0
2022-12-14,36199.0,10.496814397813862,10.494214335496604,0.0,59.99,0,0,0.8027397260273973,0.16,0.0,1,0
2022-12-15,35084.0,10.465528967686389,10.496814397813862,0.0,59.99,0,0,0.8054794520547945,0.16,0.0,0,0
2022-12-16,38188.0,10.550302795011584,10.465528967686389,0.0,59.99,0,0,0.8082191780821918,0.16,0.0,0,0
2022-12-17,45094.0,10.716526654599809,10.550302795011584,0.0,59.99,1,0,0.810958904109589,0.16,0.0,0,0
2022-12-18,46097.0,10.73852484409569,10.716526654599809,0.0,59.99,1,0,0.8136986301369863,0.16,0.0,0,0
2022-12-19,38366.0,10.554952994101429,10.73852484409569,0.0,59.99,0,0,0.8164383561643835,0.16,0.0,0,0
2022-12-20,38488.0,10.55812776516606,10.554952994101429,0.0,59.99,0,0,0.8191780821917808,0.16,0.0,0,0
2022-12-21,38060.0,10.546945414808707,10.55812776516606,0.0,59.99,0,0,0.821917808219178,0.16,0.0,0,0
2022-12-22,42476.0,10.65671803195308,10.546945414808707,0.30005000833472245,59.99,0,0,0.8246575342465754,0.16,0.0,0,0
2022-12-23,53175.0,10.881362445721418,10.65671803195308,0.30005000833472245,59.99,0,0,0.8273972602739726,0.16,0.0,0,0
2022-12-24,62290.0,11.039572232060571,10.881362445721418,0.30005000833472245,59.99,1,0,0.8301369863013699,0.16,0.0,0,0
2022-12-25,64159.0,11.069135242540396,11.039572232060571,0.30005000833472245,59.99,1,1,0.8328767123287671,0.16,0.0,0,0
2022-12-26,71354.0,11.175422697534492,11.069135242540396,0.30005000833472245,59.99,0,1,0.8356164383561644,0.16,0.0,0,0
2022-12-27,73312.0,11.202493225491926,11.175422697534492,0.30005000833472245,59.99,0,0,0.8383561643835616,0.16,0.0,0,0
2022-12-28,76364.0,11.243279755004545,11.202493225491926,0.30005000833472245,59.99,0,0,0.8410958904109589,0.16,0.0,0,0
2022-12-29,79202.0,11.279769455873012,11.243279755004545,0.30005000833472245,59.99,0,0,0.8438356164383561,0.16,0.0,0,0
2022-12-30,82864.0,11.324968056557644,11.279769455873012,0.30005000833472245,59.99,0,0,0.8465753424657534,0.16,0.0,0,0
2022-12-31,85651.0,11.358047854326108,11.324968056557644,0.30005000833472245,59.99,1,0,0.8493150684931506,0.16,0.0,0,0
